Pergunta,Resposta,Intenção
O que é o Instituto de Informática da UFG?,"O Instituto de Informática (INF) da UFG é dedicado à excelência em ensino, pesquisa e extensão na computação.",apresentacao
Quais cursos de graduação o INF oferece?,"O INF oferece cursos de graduação em Ciência da Computação, Engenharia de Software, Inteligência Artificial e Sistemas de Informação.",cursos_graduacao
Quais programas de pós-graduação existem no INF?,"O INF oferece programas de mestrado, doutorado e várias especializações na área de computação.",pos_graduacao
Quantos novos alunos ingressam anualmente?,"Anualmente, aproximadamente 120 novos alunos ingressam no INF por meio do SiSU.",ingresso
Quantos professores compõem o corpo docente?,"O INF conta com mais de 80 professores, a maioria com doutorado.",corpo_docente
O que é a Level 5?,"A Level 5 é a empresa júnior do INF, onde os alunos aplicam conhecimentos em computação e gestão.",orgaos_complementares
O que é a Apoema?,A Apoema é uma iniciativa de apoio acadêmico e orientação profissional do INF.,orgaos_complementares
Qual é a função do CEIA?,O CEIA é responsável por disponibilizar e transferir tecnologias baseadas em Inteligência Artificial.,orgaos_complementares
O que faz o Comunica INF?,O Comunica INF mantém a comunidade informada com as últimas notícias e serviços comunicacionais.,orgaos_complementares
O que é a Fábrica de Software?,"A Fábrica de Software participa de projetos práticos e aplicados, integrando teoria e prática.",orgaos_complementares

Qual é o papel do NRC?,O NRC cuida dos recursos computacionais avançados do instituto.,orgaos_complementares
Qual é a missão do INF?,"Produzir e socializar conhecimento em Computação e TI, formando cidadãos que contribuem para o desenvolvimento científico, humano e social do país.",missao
Qual é a visão do INF?,"Estar entre as principais instituições de ensino em Computação e TI no Brasil, unindo ensino, pesquisa e extensão.",visao
Quais são os valores do INF?,"O INF preza pela Ética, Profissionalismo, Diversidade, Comprometimento, Colaboração, Inovação, Excelência e Relevância Social.",valores
Como o INF promove a ética e o profissionalismo?,"O INF realiza todas as atividades com integridade, responsabilidade e compromisso com a competência e a diversidade.",valor_etica_profissionalismo
O que significa relevância social para o INF?,A informática é vista como uma ferramenta para moldar o futuro e promover um impacto positivo na sociedade.,valor_relevancia_social
Como o INF promove a inovação e a criatividade?,"O INF encoraja a busca por soluções eficientes e o aprendizado contínuo, promovendo a evolução constante.",valor_inovacao_criatividade
O que significa excelência para o INF?,Excelência significa atingir ou superar as expectativas da sociedade em todas as atividades do INF.,valor_excelencia_qualidade
Como posso saber mais sobre o INF?,"Acesse o site do Instituto de Informática da UFG para mais informações sobre cursos, eventos e oportunidades.",informacao_adicional
Como posso ingressar no INF?,"O ingresso é feito anualmente por meio do SiSU, que seleciona novos alunos para o Instituto de Informática.",ingresso
